,term1,term2,sentence,is_cause,is_treat
166,CO MORBID FIBROMYALGIA,ABNORMAL PAIN RESPONSES,"CO MORBID FIBROMYALGIA is common, where only patients with fibromyalgia show ABNORMAL PAIN RESPONSES.",1,0
167,APNEA,PREMATURE AGING,"This form of APNEA is often related to a cerebral vascular condition, congestive heart failure, and PREMATURE AGING.",1,0
168,LESION,ERYTHEMA NODOSUM LEPROSUM,"On July 16, 1998, the FDA approved the use of thalidomide for the treatment of LESIONs associated with ERYTHEMA NODOSUM LEPROSUM .",1,0
169,EMOTIOL OR PSYCHOLOGICAL INJURY,PSYCHOLOGICAL TRAUMA,PSYCHOLOGICAL TRAUMA an EMOTIOL OR PSYCHOLOGICAL INJURY usually resulting from an extremely stressful or life threatening situation.,1,0
170,HYPERTHYROIDISM,OPHTHALMOPATHY,"The Graves' disease itself - as defined, for example, by high serum TSHR-Ab concentrations or OPHTHALMOPATHY - often persists after its HYPERTHYROIDISM has been successfully treated.",1,0
171,HYPERTHYROIDISM,HYPOTHYROIDISM,"Also, thyroid autoimmune diseases are sometimes volatile, and HYPERTHYROIDISM can interchange with HYPOTHYROIDISM and euthyroidism.",1,0
172,OPHTHALMOPATHY,HYPERTHYROIDISM,"In approximately 20% of OPHTHALMOPATHY patients, ophthalmopathy appears before the onset of HYPERTHYROIDISM, in about 40% concurrently, and in about 20% in the six months after diagnosis.",1,0
173,PNEUMONIA,PHYSICAL INJURY,"PNEUMONIA can result from a variety of causes, including infection with bacteria, viruses, fungi, or parasites, and chemical or PHYSICAL INJURY to the lungs.",1,0
174,CHRONIC PNEUMONIAS,AIRWAY OBSTRUCTION,"This is useful because CHRONIC PNEUMONIAS tend to be either non infectious, or mycobacterial, fungal, or mixed bacterial infections caused by AIRWAY OBSTRUCTION",1,0
175,EOSINOPHILIC PNEUMONIA,PARASITE,EOSINOPHILIC PNEUMONIA often occurs in response to infection with a PARASITE or after exposure to certain types of environmental factors.,1,0
176,COUGH,INFECTIOUS PNEUMONIA,"People with INFECTIOUS PNEUMONIA often have a COUGH producing greenish or yellow sputum, or phlegm and a high fever that may be accompanied by shaking chills.",1,0
177,FUNGAL PNEUMONIA,CRYPTOCOCCUS NEOFORMANS,"FUNGAL PNEUMONIA is most often caused by Histoplasma capsulatum, blastomyces, CRYPTOCOCCUS NEOFORMANS, Pneumocystis jiroveci, and Coccidioides immitis.",1,0
178,SEPTIC SHOCK,PNEUMONIA,Sepsis and SEPTIC SHOCK are potential complications of PNEUMONIA.,1,0
179,DEPRESSIVE EPISODE,BIPOLAR I DISORDER,"A DEPRESSIVE EPISODE is not required for the diagnosis of BIPOLAR I DISORDER, but depressive episodes are often part of the course of the illness.",1,0
180,FAINTING,HYPOVOLAEMIC SHOCK,Neurogenic and HYPOVOLAEMIC SHOCK can also cause FAINTING,1,0
181,ADHESION,ENDOMETRIOSIS,ENDOMETRIOSIS may trigger inflammatory responses leading to scar formation and ADHESIONs.,1,0
182,MENSTRUAL PAIN,ENDOMETRIOSIS,Hormone contraception therapy: Oral contraceptives reduce the MENSTRUAL PAIN associated with ENDOMETRIOSIS.,1,0
183,HIPPOCAMPAL SCLEROSIS,TISSUE DAMAGE,The hippocampus is often the focus of epileptic seizures: HIPPOCAMPAL SCLEROSIS is the most commonly visible type of TISSUE DAMAGE in temporal lobe epilepsy.,1,0
184,PROBLEM,FOOT ULCERATION,"FOOT ULCERATION is a PROBLEM commonly associated with diabetes, which often leads to amputation.",1,0
185,APHTHOUS ULCERS,SLS,A prelimiry study suggested SLS in toothpaste caused the recurrence of APHTHOUS ULCERS commonly referred to in some countries as canker sores or white sores.,1,0
186,PSORIASIS,METABOLIC SYNDROME,Both PSORIASIS and psoriatic arthritis have been found to be associated with METABOLIC SYNDROME.,1,0
187,CENTRAL OBESITY,GLUCOSE INTOLERANCE,CENTRAL OBESITY is associated with GLUCOSE INTOLERANCE and dyslipidemia.,1,0
188,DIABETES MELLITUS TYPE 2,CENTRAL OBESITY,"Insulin resistance is a major feature of DIABETES MELLITUS TYPE 2 , and CENTRAL OBESITY is correlated with both insulin resistance and T2DM itself.",1,0
189,END REPLICATION PROBLEM,TELOMERE SHORTENING RATES,"20 bp) and actual TELOMERE SHORTENING RATES , and has a greater absolute impact on telomere length than shortening caused by the END REPLICATION PROBLEM",1,0
190,SWEET ETHEREAL ODOUR,CFCS,"According to their Material Safety Data Sheets, CFCs and HCFCS are colourless, volatile, relatively non toxic liquids and gases with a faintly SWEET ETHEREAL ODOUR",1,0
191,MORBID OBESITY,PRADER WILLI SYNDROME,"PRADER WILLI SYNDROME is also frequently associated with an extreme and insatiable appetite, often resulting in MORBID OBESITY",1,0
192,FOOD PREOCCUPATION,INCREASED MUSCLE MASS,GH supports linear growth and INCREASED MUSCLE MASS and may lessen FOOD PREOCCUPATION and weight gain.,1,0
193,HYPERTENSION,METABOLIC SYNDROME,"METABOLIC SYNDROME, a combition of abdomil obesity, HYPERTENSION, insulin resistance and abnormal lipid levels occurs in nearly 75% of cases.",1,0
194,LEUKOCYTOSIS,CATEGORY IV PROSTATITIS,"CATEGORY IV PROSTATITIS relatively uncommon in the general population, is a type of LEUKOCYTOSIS",1,0
195,EUSTACHIAN TUBE,PHARYNX,"The inner part of the spiracle, still connected to the PHARYNX, forms the EUSTACHIAN TUBE.",1,0
196,SWELLING,COMPLEX REGIOL PAIN SYNDROME,"COMPLEX REGIOL PAIN SYNDROME is a chronic progressive disease characterized by severe pain, SWELLING and changes in the skin.",1,0
197,CANCER,BREATHING DIFFICULTIES DURING SLEEP,"Obesity increases the likelihood of various diseases, particularly heart disease, type 2 diabetes, BREATHING DIFFICULTIES DURING SLEEP certain types of CANCER and osteoarthritis.",1,0
198,OBSTRUCTIVE SLEEP APNEA,CANCER,"Excessive body weight is associated with various diseases, particularly cardiovascular diseases, diabetes mellitus type 2, OBSTRUCTIVE SLEEP APNEA certain types of CANCER and osteoarthritis.",1,0
199,WEIGHT LOSS,DIETING,"In combition with diet, however, it resulted in a 1 kilogram WEIGHT LOSS over DIETING alone.",1,0
200,APRAXIA,LANGUAGE DISORDER,APRAXIA may be accompanied by a LANGUAGE DISORDER called aphasia.,1,0
201,SENSORY DISTURBANCE OF THE MEDIAN,UPPER LIMB NEUROPATHY,Carpal Tunnel Syndrome affects the hands since it is an UPPER LIMB NEUROPATHY that results in motor and SENSORY DISTURBANCE OF THE MEDIAN nerve.,1,0
202,NUMBNESS,LONG TERM CHRONIC CARPAL TUNNEL SYNDROME,"LONG TERM CHRONIC CARPAL TUNNEL SYNDROME can result in permanent nerve damage, i.e. irreversible NUMBNESS muscle wasting and weakness.",1,0
203,SYNDROMIC RETINITIS PIGMENTOSA,GENETIC SYNDROMES,Joubert syndrome is one of the many GENETIC SYNDROMES associated with SYNDROMIC RETINITIS PIGMENTOSA,1,0
204,NEUROFIBROMATOSIS,PHEOCHROMOCYTOMA,NEUROFIBROMATOSIS is also associated with PHEOCHROMOCYTOMA.,1,0
205,LEG WEAKNESS,SPASTIC PARAPLEGIA 2,"Milder mutations of the PLP1 gene that mainly cause LEG WEAKNESS and spasticity, with little or no cerebral involvement, are classified as SPASTIC PARAPLEGIA 2 .",1,0
206,TIC,COMORBID CONDITION,Disruption from TICs is commonly overshadowed by COMORBID CONDITIONs that present greater interference to the child.,1,0
207,DIABETIC KETOACIDOSIS,DIABETES MELLITUS,DIABETIC KETOACIDOSIS is a potentially life-threatening complication in patients with DIABETES MELLITUS.,1,0
208,GASTROINTESTIL PERFORATION,ACUTE ABDOMEN,"The abdomen may be tender to the point that an ACUTE ABDOMEN may be suspected, such as acute pancreatitis, appendicitis or GASTROINTESTIL PERFORATION",1,0
209,KETOACIDOSIS,DIABETES,KETOACIDOSIS is not always the result of DIABETES.,1,0
210,DIZZINESS,CAFFEINE,"The combition of aspirin, paracetamol and CAFFEINE is still more effective, but at the cost of more stomach discomfort, nervousness and DIZZINESS.",1,0
211,PEPTIC ULCER,ASPIRIN,"Owing to its effect on the stomach lining, manufacturers recommend that people with PEPTIC ULCERs, mild diabetes, or gastritis seek medical advice before using ASPIRIN.",1,0
212,ARTHRITIS,CORTICOSTEROID,CORTICOSTEROIDs are frequently prescribed for individuals with ARTHRITIS.,1,0
213,HEPATITIS,PHENELZINE,"Rare side effects of MAOIs like PHENELZINE and tranylcypromine include HEPATITIS, heart attack, stroke, and seizures.",1,0
214,HEPATOTOXICITY,METHOTREXATE,Especially the concomitant use of METHOTREXATE may lead to severe or even fatal liver- or HEPATOTOXICITY.,1,0
215,RHEUMATOID ARTHRITIS,METHOTREXATE,However some studies have shown that the combition of METHOTREXATE and leflunomide in patients with RHEUMATOID ARTHRITIS gave better results than either drug alone.,1,0
216,MIGRAINE,5 HT RECEPTOR AGONISTS,Two theories have been proposed to explain the efficacy of 5 HT RECEPTOR AGONISTS in MIGRAINE,1,0
217,TWO MOLES ATP,GLUCOSE,This process yields TWO MOLES ATP per GLUCOSE consumed.,1,0
218,HAAS,ARTICAINE,An article by HAAS and Lennon published in 1993 seems to be the origil source for the controversy surrounding ARTICAINE.,1,0
219,TARDIVE DYSKINESIA,TRIHEXYPHENIDYL,Antipsychotics : Long term use of TRIHEXYPHENIDYL may mask or increase the risk of TARDIVE DYSKINESIA.,1,0
220,INSOMNIA,LOPRAZOLAM,The dose of LOPRAZOLAM for INSOMNIA is usually 1 mg but can be increased to 2 mg if necessary.,1,0
221,HYPOGLYCEMIA,METFORMIN,"However, when METFORMIN is combined with other drugs , HYPOGLYCEMIA and other side effects are possible.",1,0
222,COUPLET,DISOPYRAMIDE,"Compared with DISOPYRAMIDE and quinidine, moricizine was equally or more effective in suppressing ventricular premature depolarizations, COUPLETs, and nonsustained ventricular tachycardia.",1,0
223,DELAYED GROWTH,PRAZEPAM,Animal studies have found PRAZEPAM taken during pregncy results in DELAYED GROWTH and reproductive abnormalities.,1,0
224,AUTISTIC BEHAVIOR,DIMETHYLGLYCINE,"DIMETHYLGLYCINE is hypothesized to improve speech and reduce AUTISTIC BEHAVIORs, and is a commonly used supplement.",1,0
225,AUTISM,THIAMINE,"This study has not been replicated, and a 2006 review of thiamine by the same author did not mention THIAMINE's possible effect on AUTISM",1,0
226,HELICOBACTER PYLORI,ALLICIN,"It is also acts against the stomach ulcer germ HELICOBACTER PYLORI, however not as efficiently as ALLICIN.",1,0
227,MIGRAINE,PARACETAMOL,"In combition with PARACETAMOL and isometheptene, it is the active ingredient of medications for MIGRAINE and vascular headaches, including Epidrin and Midrin.",1,0
228,AGRANULOCYTOSIS,VINPOCETINE,"VINPOCETINE has been implicated in one case to induce AGRANULOCYTOSIS, a condition in which granulocytes, are markedly decreased.",1,0
229,TACHYCARDIA,MUSCIMOL,"Conversely, microinjections of MUSCIMOL, a GABA-a agonist, inhibit TACHYCARDIA in rats under air-stress stimuli.",1,0
230,OBSTRUCTIVE UROPATHY,TRANDOLAPRIL,Combition therapy with paricalcitol and TRANDOLAPRIL has been found to reduce fibrosis in OBSTRUCTIVE UROPATHY.,1,0
231,ALGESIC NEPHROPATHY,PHECETIN,It is currently thought that the rel toxicities of NSAIDs and the antipyretics PHECETIN and paracetamol may combine to give rise to ALGESIC NEPHROPATHY.,1,0
232,ADHESIVE ARACHNOIDITIS,CHLOROPROCAINE,CHLOROPROCAINE should rarely be used in the subarachnoid space because of the risk of ADHESIVE ARACHNOIDITIS.,1,0
233,NEUROMUSCULAR DISEASES,PRIONS,Some NEUROMUSCULAR DISEASES are hypothesized to be caused either by viral infections or by attack by little known pernicious proteins called PRIONS.,1,0
234,AUTOSOMAL RECESSIVE GENETIC DISORDER,PLANT STEROLS,"While PLANT STEROLS are beneficial, phytosterolemia, a rare AUTOSOMAL RECESSIVE GENETIC DISORDER can occur due to over absorption of phytosterols.",1,0
235,OSTEOPOROSIS,ESTROGEN,"For example, OSTEOPOROSIS or decreased bone density affects almost all women with POF due to an insufficiency of ESTROGEN.",1,0
236,HEMORRHOIDS,HESPERIDIN,"To control interl symptoms of HEMORRHOIDS , it is used with HESPERIDIN",1,0
237,JAUNDICE SEVERE,ECG,"Poor prognostic signs include severe JAUNDICE SEVERE change in mental status, severe bleeding, and prolonged QT interval on ECG",1,0
238,CONGESTIVE HEART FAILURE,NICARDIPINE,"Furthermore, NICARDIPINE does not intrinsically decrease myocardial contractility and may be useful in the magement of CONGESTIVE HEART FAILURE.",1,0
239,MECHANISM OF EXCITABILITY OF AREA POSTREMA,EXTRACELLULAR ATP,"In 2007 in Japan, research was performed on the MECHANISM OF EXCITABILITY OF AREA POSTREMA neurons by EXTRACELLULAR ATP",1,0
240,HIV INFECTED,ANTIRETROVIRAL AGENTS,title=Guidelines for using ANTIRETROVIRAL AGENTS among HIV INFECTED adults and adolescents.,1,0
241,VOMITING,VARENICLINE,"Rare side effects reported by people taking VARENICLINE compared to placebo include change in taste, VOMITING, abdomil pain, flatulence, and constipation.",1,0
242,OCULAR ITCHING,SYSTEMIC MONTELUKAST,"However, SYSTEMIC MONTELUKAST as expected, provided better relief for symptoms distant from the sal cavity such as OCULAR ITCHING and throat/palate itching.",1,0
243,MYOSITIS,COTRIMOXAZOLE,"Agents that have been used include albendazole, metronidazole and COTRIMOXAZOLE for MYOSITIS.",1,0
244,DIPHTHERIA PROTEINS,PNEUMOCOCCUS,"Prevr is a heptavalent vaccine, meaning that it contains the cell membrane sugars of seven serotypes of PNEUMOCOCCUS conjugated with DIPHTHERIA PROTEINS.",1,0
245,BLEEDING,CSF,The yellow appearance is caused by red blood cells entering the CSF during the BLEEDING,1,0
246,HYPERCHOLESTEROLAEMIA,PITAVASTATIN,"Like the other statins, PITAVASTATIN is indicated for HYPERCHOLESTEROLAEMIA and for the prevention of cardiovascular disease.",1,0
247,BUTCHER SHOP,GROCERY STORE,"Immigrants from Poland, the Goldblatt family ran a GROCERY STORE and BUTCHER SHOP on Chicago's west side.",1,0
248,BRONCHOSPASM,ATRACURIUM,BRONCHOSPASM has been reported on occasion with the use of ATRACURIUM.,1,0
249,TUMORS,IMATINIB,The same group in Italy found that the combition of imatinib and sirolimus caused a response in several patients whose TUMORS progressed on IMATINIB alone.,1,0
250,HEPATITIS B,VACCINE,"This approach has been taken with VACCINEs for mumps, measles, rubella, and HEPATITIS B .",1,0
251,ACCIDENTAL INGESTION,DIPHENHYDRAMINE,Frequently medications such as an Epinephrine pen or an Antihistamine such as DIPHENHYDRAMINE are prescribed by an allergist in case of ACCIDENTAL INGESTION.,1,0
252,RHEUMATOID ARTHRITIS,METHOTREXATE,"METHOTREXATE, an anti-cancer drug also used to control inflammation associated with Crohn's disease, ulcerative colitis and RHEUMATOID ARTHRITIS.",1,0
253,DELAYED DEVELOPMENT,GAG,"Filly, the storage of GAG in the brain can lead to DELAYED DEVELOPMENT with subsequent mental retardation.",1,0
254,INFLUENZA,COMBITION THERAPY,A 1984 study on complicated influenza had found levamisole to be an effective inducer of interferon and had recommended its use in COMBITION THERAPY for INFLUENZA.,1,0
255,SOURCED,TISSUE BANK,Allograft is cadaveric tissue SOURCED from a TISSUE BANK,1,0
256,ALLERGIC REACTIONS,PROCARBAZINE,"Aside from bone marrow suppression, frequent side effects included nerve injury caused by vincristine and ALLERGIC REACTIONS to PROCARBAZINE",1,0
257,ALLERGIC REACTIONS,BLEOMYCIN,ALLERGIC REACTIONS to BLEOMYCIN can occur.,1,0
258,URIRY RETENTION,PROTRIPTYLINE,Men with prostate enlargement who take PROTRIPTYLINE may be especially likely to have problems with URIRY RETENTION.,1,0
259,JAUNDICE,IPRINDOLE,IPRINDOLE has been associated with JAUNDICE and hepatotoxicity and should not be taken by alcoholics or people with pre-existing liver disease.,1,0
260,GLAUCOMA,OPIPRAMOL,"OPIPRAMOL should not be taken with alcohol, or in patients with benign prostatic hyperplasia or GLAUCOMA.",1,0
261,SITOSTEROLEMIA,EZETIMIBE,"In October 2002, a new cholesterol absorption inhibitor, EZETIMIBE, received US Food and Drug Administration approval for use in SITOSTEROLEMIA.",1,0
262,THROMBOCYTOPENIA,ANCROD,THROMBOCYTOPENIA as side effect has never been noticed with ANCROD in contrast to heparin.,1,0
263,ERYTHEMA MULTIFORME,TETRAZEPAM,Stevens-Johnson syndrome and ERYTHEMA MULTIFORME has been reported from use of TETRAZEPAM.,1,0
264,CONDENSATION OF CYCLOPENTANONE,UNSATURED NITRILE,CONDENSATION OF CYCLOPENTANONE with cyanoacetic acid in a modified Knoevegel condensation followed by decarboxylation affords the UNSATURED NITRILE,1,0
265,MUCOSITIS,MELPHALAN,"75-85% of bone marrow transplantation recipients experience MUCOSITIS, of which oral mucositis is the most common and most debilitating, especially when MELPHALAN is used.",1,0
266,BLEEDING DISORDER,DEFIBROTIDE,Known BLEEDING DISORDERs or Bleeding Tendencies having occurred recently : DEFIBROTIDE should be used cautiously.,1,0
267,VASCULAR HEADACHE,PIZOTIFEN,The main medical use for PIZOTIFEN is for the prevention of VASCULAR HEADACHE including migraine and cluster headache.,1,0
268,INFLUENZA,PROMETHAZINE,"Night Nurse - a medicine containing paracetamol, dextromethorphan and PROMETHAZINE to ease the symptoms of colds and INFLUENZA, and aid sleep.",1,0
269,MAJOR BLEEDING,DABIGATRAN 110 MG,MAJOR BLEEDING occurred significantly less often with DABIGATRAN 110 MG than warfarin; dabigatran 150 mg had similar bleeding to warfarin.,1,0
270,TUMORS,SWAINSONINE'S,SWAINSONINE'S activity against TUMORS is attributed to its stimuation of macrophages.cite jourl.,1,0
271,PARACETAMOL OVERDOSE,ORAL METHIONINE,ORAL METHIONINE compared with intravenous N acetyl cysteine for PARACETAMOL OVERDOSE,1,0
272,HEARING LOSS,AKINRA,"Treatment with AKINRA, an interleukin 1 receptor antagonist, can lead to an improvement in the HEARING LOSS.",1,0
273,VIRAL INFECTIONS,FLUOROQUINOLONES,Additiolly Pefloxacin and other FLUOROQUINOLONES have no effect upon VIRAL INFECTIONS such as the common head cold.,1,0
274,THROMBOCYTOPENIA,PEFLOXACIN,"PEFLOXACIN has been associated with THROMBOCYTOPENIA, which appears to be dose related.",1,0
275,PHOTOTOXICITY,CINOXACIN,"Although PHOTOTOXICITY and photoallergenicity is well demonstrated experimentally, phototoxicity does not appear to be an issue with CINOXACIN.",1,0
276,ERECTILE DYSFUNCTION,ALPROX,NexMed is developing transdermal formulations - ALPROX-TDfor men with ERECTILE DYSFUNCTION and Femproxfor female sexual arousal disorder.,1,0
277,SEVERE CHRONIC HAND ECZEMA,TOPICAL CORTICOSTEROIDS,The recommendation stated that only patients with SEVERE CHRONIC HAND ECZEMA who are unresponsive to potent TOPICAL CORTICOSTEROIDS oral immunosuppressants or phototherapy should receive the drug.,1,0
278,BLEEDING,OESTROGEN,Dydrogesterone adequately induces BLEEDING when the endometrium is sufficiently primed with OESTROGENs.,1,0
